,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
202,1503101,10129,87.8,10.5,1.7,0.0,PA,8893.0,1064.0,172.0,0.0
203,1503200,21796,97.7,0.8,1.5,0.0,PA,21295.0,174.0,327.0,0.0
204,1503309,26912,93.4,5.1,1.5,0.0,PA,25136.0,1373.0,404.0,0.0
205,1503408,2952,46.5,52.4,1.1,0.0,PA,1373.0,1547.0,32.0,0.0
206,1503457,13013,53.8,43.0,3.1,0.0,PA,7001.0,5596.0,403.0,0.0
207,1503507,6580,99.1,0.6,0.3,0.0,PA,6521.0,39.0,20.0,0.0
208,1503606,71313,78.2,19.3,2.5,0.0,PA,55767.0,13763.0,1783.0,0.0
209,1503705,20686,86.5,11.1,2.4,0.0,PA,17893.0,2296.0,496.0,0.0
210,1503754,14503,98.7,1.2,0.1,0.0,PA,14314.0,174.0,15.0,0.0
211,1503804,48366,83.1,13.5,3.5,0.0,PA,40192.0,6529.0,1693.0,0.0
212,1503903,17332,93.3,2.6,4.1,0.0,PA,16171.0,451.0,711.0,0.0
213,1504000,6574,80.6,18.7,0.8,0.0,PA,5299.0,1229.0,53.0,0.0
214,1504059,23657,58.1,41.4,0.6,0.0,PA,13745.0,9794.0,142.0,0.0
215,1504109,3853,30.5,68.6,0.9,0.0,PA,1175.0,2643.0,35.0,0.0
216,1504208,200791,63.6,29.1,7.4,0.0,PA,127703.0,58430.0,14859.0,0.0
217,1504307,11761,33.9,64.5,1.7,0.0,PA,3987.0,7586.0,200.0,0.0
218,1504406,11945,95.8,2.9,1.3,0.0,PA,11443.0,346.0,155.0,0.0
219,1504422,116394,81.1,14.5,4.4,0.0,PA,94396.0,16877.0,5121.0,0.0
220,1504455,10139,66.6,32.5,0.0,0.9,PA,6753.0,3295.0,0.0,91.0
221,1504505,5736,86.2,12.4,1.4,0.0,PA,4944.0,711.0,80.0,0.0
222,1504604,19457,57.4,42.0,0.5,0.0,PA,11168.0,8172.0,97.0,0.0
223,1504703,26869,87.6,11.1,1.3,0.0,PA,23537.0,2982.0,349.0,0.0
224,1504752,11158,100.0,0.0,0.0,0.0,PA,11158.0,0.0,0.0,0.0
225,1504802,24868,71.8,26.9,1.3,0.0,PA,17855.0,6689.0,323.0,0.0
226,1504901,15552,96.8,1.9,1.3,0.0,PA,15054.0,295.0,202.0,0.0
227,1504950,8110,95.0,3.8,1.2,0.0,PA,7704.0,308.0,97.0,0.0
228,1504976,8136,97.1,1.6,1.3,0.0,PA,7900.0,130.0,106.0,0.0
229,1505007,5776,77.9,20.6,1.5,0.0,PA,4500.0,1190.0,87.0,0.0
230,1505031,17773,98.3,1.2,0.6,0.0,PA,17471.0,213.0,107.0,0.0
